frame_nr;type;score;left;top;height;width
105203;0;1.0875006109483507;141;16;87;58
105204;0;1.1761870771653917;169;19;105;70
105205;0;1.2933137804277208;204;19;105;70
105206;0;1.315349259973314;227;19;105;70
105207;0;0.6765036970384386;266;35;87;58
105221;0;1.2889614492662218;5;13;73;49
105222;0;0.942639151216295;16;6;88;59
105223;0;1.084123173356798;45;6;88;58
105224;0;0.9429663807161119;64;6;88;58
105225;0;0.8841652065522936;93;6;88;58
105226;0;1.2241574913270739;121;16;87;59
105227;0;1.3373525530107286;150;16;87;59
105228;0;1.2895578533418444;179;16;87;59
105229;0;1.2466816097505358;204;19;105;70
105230;0;0.8812593609102037;227;19;105;70
105231;0;0.2789206296212939;261;31;105;70
113576;0;1.030495801568773;74;6;88;58
113577;0;1.200382390619066;93;6;88;58
113578;0;0.8964457899339464;112;8;105;70
113579;0;0.9384190231569078;135;8;105;70
113580;0;0.6474980503328112;170;16;87;58
113581;0;1.0640705019243029;192;19;105;70
113582;0;1.1604220062501696;227;19;105;70
113583;0;0.5517973095186022;250;19;105;70
115378;0;1.7013359457261827;6;6;88;59
115379;0;1.2696717172868517;26;6;88;58
115380;0;1.0327439695604113;53;13;73;49
115381;0;0.82715932428911;74;16;87;58
115382;0;0.7351156860597399;102;16;87;59
115383;0;1.042042055726793;121;16;87;59
115384;0;1.6276164442308214;150;16;87;59
115385;0;1.1201546579606798;179;16;87;59
115386;0;1.502668300271776;204;19;105;70
115387;0;0.6960524708040026;217;24;125;84
115388;0;0.8502256065614489;5;5;73;49
115389;0;1.121198812127855;16;6;88;59
115389;1;0.22743097984492433;24;-59;153;56
115390;0;0.7589503914125231;35;6;88;59
115391;0;0.41899708807542596;54;6;88;59
115392;0;0.46168784201219354;83;6;88;59
115393;0;0.884933868051317;102;16;87;59
115394;0;0.8684837013490465;121;16;87;59
115395;0;0.9623092800386217;150;16;87;59
115396;0;0.9692707449205187;179;16;87;59
115397;0;1.0393158584840563;204;19;105;70
115398;0;0.8439183622606066;217;24;125;84
115399;0;0.4658054500825671;250;31;105;70
115400;0;0.2667826205499438;285;45;73;49
115440;0;0.3137048274286059;-11;13;73;57
115441;0;1.2121006637819078;6;6;88;59
115442;0;0.9172274261720446;26;6;88;58
115443;0;1.0540388017900255;45;6;88;58
115444;0;1.3628230482347277;64;6;88;58
115445;0;1.1997552305467394;83;16;87;59
115446;0;1.3592019468553331;112;16;87;59
115447;0;1.2774627596147325;131;16;87;59
115448;0;1.1774439007051256;158;19;105;70
115449;0;1.2966283947236803;181;19;105;70
115450;0;1.4745457559831407;215;19;105;70
115451;0;1.271327534318712;238;31;105;70
115452;0;0.752958098054674;121;16;87;59
115453;0;0.7648045212037828;135;19;105;70
115454;0;0.9788701921708849;169;19;105;70
115455;0;1.3634119421251085;198;26;87;59
115456;0;1.095003882051256;215;19;105;70
115457;0;1.2045398145921495;256;35;87;59
115458;0;0.3230609089143542;275;45;87;59
117768;0;0.43521598875596795;-11;13;73;57
117769;0;1.3343968778856066;13;13;73;49
117770;0;0.8215074926622179;37;13;73;49
117771;0;1.218179979921129;54;16;87;59
117772;0;0.8906138330705431;74;16;87;58
117773;0;1.3868565946824816;102;16;87;59
117774;0;1.5878888756044176;131;16;87;59
117775;0;1.3746357351548937;160;26;87;59
117776;0;1.2324074894197252;189;26;87;58
117777;0;1.0734774261720446;215;19;105;70
117778;0;1.0202020794160631;256;35;87;59
117779;0;0.1196677476175097;285;53;73;49
121606;0;0.7492202907808092;-11;13;73;57
121607;0;0.8164890199907091;6;16;87;59
121608;0;0.8814393669374254;26;16;87;58
121609;0;1.144618549943712;45;16;87;58
121610;0;1.6751273065812853;64;16;87;58
121611;0;1.0940670162446764;93;16;87;58
121612;0;0.8865449815995958;112;16;87;59
121613;0;1.028018870950487;131;16;87;59
121614;0;1.6026047855623033;158;19;105;70
121615;0;1.6227076441056993;181;19;105;70
121616;0;1.7254603296525743;204;19;105;70
121617;0;1.5628505140550402;238;31;105;70
121618;0;0.5961826831109789;256;45;87;59
121619;1;0.14667854749858034;294;45;97;40
121635;0;1.3331741482026842;6;16;87;59
121636;0;0.7086353689439562;37;21;73;49
121637;0;1.2236417919404772;54;16;87;59
121638;0;1.642257013917711;83;16;87;59
121639;0;1.4354503542192247;112;16;87;59
121640;0;1.3955661445863512;141;16;87;58
121641;0;1.351680317521837;169;19;105;70
121642;0;1.184636393190172;192;19;105;70
121643;0;0.9458295494325426;237;35;87;58
121644;0;0.532118299604204;266;45;87;58
121645;1;0.2625809713572229;301;69;81;33
121653;0;1.0611310392625597;5;13;73;49
121654;0;0.5940970569856432;19;8;105;71
121655;0;0.41656277477815423;45;6;88;58
121656;0;0.9878410488374498;74;16;87;58
121657;0;0.8403098970659044;102;16;87;59
121658;0;0.8525567442186144;121;16;87;59
121659;0;0.6245274931199816;146;8;105;70
121660;0;1.2196501880891588;181;19;105;70
121661;0;1.2213979154832628;204;19;105;70
121662;0;0.7637460619218615;238;31;105;70
126985;0;1.057461181283739;5;21;73;49
126986;0;1.040186086297777;13;21;73;49
126987;0;0.9884778648622301;37;21;73;49
126988;0;1.2001216799028185;53;13;73;49
126989;0;1.0277611404664782;64;16;87;58
126990;0;1.1033522278077867;93;16;87;58
126991;0;1.476089873910692;112;16;87;59
126992;0;1.4953288227327135;141;16;87;58
126993;0;0.8467631727464464;160;16;87;59
126994;0;1.2584352880723741;181;19;105;70
126995;0;1.2942289501436022;204;19;105;70
126996;0;0.987678328157213;238;31;105;70
126997;0;0.7511059433229235;266;35;87;58
126998;0;0.2514099866159228;285;53;73;49
128176;0;0.2654851466424731;-11;13;73;57
128177;0;1.125329056382921;6;6;88;59
128178;0;0.7222676664598253;26;6;88;58
128179;0;0.7344702869661119;45;16;87;58
128180;0;1.0851481348283556;74;16;87;58
128181;0;1.1634992748506334;102;16;87;59
128182;0;1.4428400188691881;123;8;105;70
128183;0;0.6572454363115099;146;19;105;70
128184;0;1.195572057367113;181;19;105;70
128185;0;0.9374549776323107;204;19;105;70
128186;0;1.0732006222017076;238;31;105;70
128187;0;0.4389908105142382;273;31;105;70
128218;0;1.803115168214586;5;13;73;49
128219;0;0.7702325969941881;29;13;73;49
128220;0;0.9769205242402819;45;6;88;58
128221;0;1.0949321180589464;74;6;88;58
128222;0;1.2273548036821154;102;16;87;59
128223;0;1.5617844253785875;131;16;87;59
128224;0;1.3023664146669176;160;16;87;59
128225;0;1.3361342340715197;192;19;105;70
128226;0;0.9392333418138292;227;19;105;70
128227;0;0.390986719728258;256;45;87;59
134673;1;0.1552429004877771;141;37;81;33
134674;1;0.5115777059763635;149;37;81;33
134677;1;0.3108989998072351;-19;13;81;41
134678;1;0.37762437307536256;-19;13;81;41
134679;1;0.2365022703379358;-27;-38;128;59
134680;1;0.17734430277049196;-32;-59;153;70
134681;1;0.45001862489878786;5;13;81;33
134682;1;0.6770278021067346;5;13;81;33
134683;1;0.8190885587900842;5;13;81;33
134684;1;0.29814718210398805;13;13;81;33
134685;1;0.6116055055826868;13;21;81;33
134686;1;0.19246004068553102;181;37;81;33
134688;1;0.2510790630549158;10;-59;153;56
134689;1;0.17560843670069826;10;-59;153;56
134690;1;0.26254646026789796;10;-59;153;56
134691;0;0.3747658520944384;8;8;105;70
134692;0;0.27646616995408807;8;8;105;70
134693;0;0.41583631336763177;8;8;105;70
134694;0;0.4075839310891894;10;10;125;84
134695;1;0.1567450567454065;29;-71;184;67
134696;1;0.3224090143412317;45;16;97;39
134697;1;0.1986810966700281;45;-71;184;68
134698;1;0.22119543993174684;54;16;97;40
134700;1;0.6073893114298548;64;16;97;39
134701;1;0.5326657100886072;64;16;97;39
134702;1;0.6418528362482752;74;16;97;39
134703;1;0.32554737770259035;74;16;97;39
134704;1;0.6875456377238001;83;16;97;39
134705;1;0.26778505289256227;93;16;97;39
134706;1;0.9142830177515711;93;16;97;39
134707;1;0.7086692854136194;93;26;96;39
134708;1;0.8204700752466882;102;16;97;40
134709;1;0.13927773678004396;102;26;96;40
134710;1;0.495014767286178;112;16;97;39
134711;0;0.5826105266816881;109;5;73;49
134712;1;0.5904296442240442;121;26;96;40
134713;1;0.3878256484240259;121;26;96;40
134714;1;0.5900649830073084;131;26;96;40
134715;1;0.41261015379130495;135;19;117;47
134716;1;0.38009343588053834;141;26;96;39
134717;1;0.48978887045085084;146;19;117;47
134718;1;0.4767742558687891;150;26;96;40
134719;0;0.2627244383104113;134;10;125;84
134720;0;0.24169246256425653;134;10;125;84
134721;0;0.48099354803636346;148;10;125;84
134722;0;0.4508777052171496;148;10;125;84
134723;0;0.10653559267595086;79;-122;288;173
134724;0;0.12383959591462884;108;-122;288;173
134726;0;0.15342489779069696;108;-122;288;173
134727;1;0.23215077364146364;218;35;97;39
134728;0;0.23120723068788324;108;-122;288;173
134729;1;0.4218512579172815;189;26;96;39
134730;1;0.859129290220138;198;26;96;40
134731;1;0.7447050615519251;198;26;96;40
134732;1;0.1331428691118921;208;26;96;39
134733;1;0.363512138959762;208;26;96;39
134734;1;0.1935574814051355;218;26;96;39
134735;1;0.2760082884997095;218;26;96;39
134736;1;1.3121610685557092;237;35;97;39
134736;0;0.5656967550523546;231;24;125;84
134737;1;1.6072436376780237;246;35;97;40
134737;0;0.6168867737062242;231;24;125;84
134738;1;1.6183355852335657;246;35;97;40
134738;0;0.6820396572358873;231;24;125;84
134739;1;0.45709172928034913;246;35;97;40
134740;1;0.24183313095271242;250;31;116;47
134741;1;0.17109576904475343;257;-102;264;96
134742;1;0.3157588049143518;257;-102;264;96
134743;1;0.3120137258738245;266;45;97;39
134744;1;0.27627048933207643;266;45;97;39
134745;1;0.6128350301951135;275;45;97;40
134746;1;0.728218416807052;275;45;97;40
134747;1;0.2791149421900476;275;54;97;40
134748;1;0.2172314330309595;277;29;166;68
134749;1;0.5767682596415247;294;45;97;40
134750;1;0.558390478727218;294;54;97;40
134751;1;0.6484668060511316;294;64;97;40
134752;1;0.5986511512964929;294;74;97;40
135219;0;0.7193986564882067;5;13;73;49
135220;0;1.363241949678209;6;6;88;59
135221;0;0.8971107393510607;16;6;88;59
135222;0;1.065901795030382;35;6;88;59
135223;0;1.0322086006410387;54;6;88;59
135224;0;0.8693542867906359;64;16;87;58
135225;0;0.9181875377900865;83;16;87;59
135226;0;0.9175491720445421;102;16;87;59
135227;0;0.7379551321275499;121;16;87;59
135228;0;0.7698443323381212;135;8;105;70
135229;0;0.7939064890153673;158;19;105;70
135230;0;1.2047094494111803;181;19;105;70
135231;0;1.2912605196244982;204;19;105;70
135232;0;1.0381491571672228;227;19;105;70
135304;0;0.12160042822435174;-19;13;73;57
135305;0;0.7178365379579332;5;13;73;49
135306;0;0.8869824796922472;6;6;88;59
135307;0;0.3924867302186755;26;6;88;58
135308;0;0.5671894341714647;45;6;88;58
135309;0;0.8062880426652697;54;16;87;59
135310;0;0.4281508117921618;65;8;105;71
135311;0;0.5923697143800524;102;16;87;59
135312;0;0.4619452148683337;112;8;105;70
135313;0;0.8522521644838121;135;8;105;70
135314;0;0.9609053522355822;158;19;105;70
135315;0;0.99751905500963;181;19;105;70
135316;0;1.0445720344789293;204;19;105;70
135317;0;0.9444947630174425;227;19;105;70
135318;0;0.5988943368203905;250;31;105;70
135319;0;0.4840156227357653;273;31;105;70
135895;1;0.1086321874827112;285;77;81;33
135896;0;0.6337594181306627;256;102;88;59
135897;0;0.15146575272157464;238;89;104;70
135898;0;0.5794424206025865;227;89;104;70
135899;1;0.27199480974375856;294;74;97;40
135900;1;0.6608083053797449;301;69;81;33
135901;1;0.3217599793642725;286;37;140;57
135901;0;0.3106307774789599;192;77;105;70
135902;0;0.46646449863984857;269;77;73;49
135902;1;0.2223050996035303;284;31;116;47
135903;0;0.24042222797944818;259;24;125;84
135903;0;0.1298405319459704;169;65;105;70
135904;0;0.47009883225038324;269;21;73;49
135904;0;0.21961496174409662;158;65;105;70
135905;0;0.33417979776933465;269;21;73;49
135906;0;0.3807320982225207;161;-102;240;145
135907;0;0.37101958096101556;238;19;105;70
135908;0;0.6959712892778185;227;19;105;70
135909;0;0.8435207992799547;217;10;125;84
135910;0;0.7637992292650011;215;19;105;70
135911;0;0.6178653627641466;204;19;105;70
135912;0;0.5197676807649401;192;19;105;70
135913;0;0.6275997549302843;192;19;105;70
135914;0;0.3450526386506823;176;10;125;84
135915;1;0.26641515934168947;178;-71;184;67
135916;0;0.3918935447938708;169;19;105;70
135917;0;0.3106886535890368;158;19;105;70
135918;0;0.44991890490129266;148;10;125;84
135919;1;0.25494323217570436;145;-71;184;67
135920;1;0.3023155733317102;145;-71;184;67
135922;0;0.3249420911081103;123;8;105;70
135923;0;0.1153449207551745;42;-102;240;144
135924;1;0.17306343757807863;112;-71;184;67
135925;1;0.2219744726389612;112;-71;184;67
135927;1;0.31233594858348024;95;-71;184;67
135928;1;0.21470491134822023;95;-71;184;67
135929;0;0.16593364775254998;18;-102;240;144
135930;0;0.13010249435975824;18;-102;240;144
135932;0;0.13983366787507806;15;-85;200;120
135933;1;0.41703132831751955;85;21;81;33
135934;1;0.6773025795191492;85;21;81;33
135935;1;0.2778400584429468;77;21;81;33
135938;0;0.13653300106599603;19;8;105;71
135939;0;0.22934506237581048;10;10;125;84
135940;0;0.13511476814821038;10;-46;140;84
135941;0;0.1813345938928393;8;8;105;70
135942;0;0.3607490450151232;8;8;105;70
135943;0;0.19715229570939813;8;8;105;70
135946;1;0.23479781591593873;13;13;81;33
135947;1;0.18598757230937135;13;21;81;33
135948;1;0.37164364301859987;5;21;81;33
135949;1;0.13623426401316774;-32;-46;154;70
135950;1;0.34715763771235597;-19;21;81;41
135951;1;0.3492855831354822;-19;21;81;41
135952;1;0.4836483999460901;-19;13;81;41
153236;0;0.3758308678872851;-11;13;73;57
153237;0;0.6927825599916246;6;16;87;59
153238;0;0.2881246000535754;35;6;88;59
153239;0;0.8693066030748156;54;6;88;59
153240;0;1.0160310655839708;83;16;87;59
153241;0;1.2754228502519396;102;16;87;59
153242;0;0.637243667245653;131;16;87;59
153243;0;0.6701339870698717;146;19;105;70
153244;0;1.0987672001130846;181;19;105;70
153245;0;0.9880822092302111;218;26;87;58
153246;0;0.8694758802659777;238;31;105;70
153247;0;0.37707034647538934;266;54;88;58
